ml_run,feature_set,bio_age_model,n_subjects,subject_gap_mae,subject_gain,subject_closer_to_bio_rate,subject_id
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,bio_age_texture_metadata,ridge,873,2.266848462988863,6.941578818416254,0.856815578465063,SUMMARY_ONLY
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,bio_age_texture_metadata,ridge,873,2.270555537736191,6.998353587884274,0.8717067583046965,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,bio_age_texture_metadata,ridge,873,2.375993885057418,6.856435992758542,0.845360824742268,SUMMARY_ONLY
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,bio_age_ei_texture,ridge,873,2.6806675268088043,6.588241598811662,0.852233676975945,SUMMARY_ONLY
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,bio_age_ei_texture,ridge,873,2.7120571032113925,6.496370178193724,0.8442153493699885,SUMMARY_ONLY
run_20260402_151438_ta_healthy_nested_cv_elasticnet,bio_age_texture_metadata,ridge,873,2.76632539667616,6.702021090532698,0.8373424971363116,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,bio_age_ei_texture,ridge,873,2.882723121514944,6.349706756301016,0.8384879725085911,SUMMARY_ONLY
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,bio_age_texture,ridge,873,2.893636946363773,6.375272179256694,0.847651775486827,SUMMARY_ONLY
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,supplement_ei_texture_morphology,ridge,873,2.9045812160632267,6.30384606534189,0.8224513172966781,SUMMARY_ONLY
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,bio_age_texture,ridge,873,2.91722587795762,6.291201403447497,0.8384879725085911,SUMMARY_ONLY
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,supplement_ei_texture_morphology,ridge,873,2.932754229143756,6.33615489647671,0.8224513172966781,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,bio_age_texture,ridge,873,3.0416169221855207,6.19081295563044,0.8350515463917526,SUMMARY_ONLY
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,bio_age_full_image_upper_bound,ridge,873,3.125986232440301,6.082441048964816,0.8052691867124857,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,supplement_ei_texture_morphology,ridge,873,3.145641331695004,6.086788546120957,0.8087056128293242,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,bio_age_texture_metadata,ridge,873,3.1503879506158805,6.125535817998094,0.8132875143184422,SUMMARY_ONLY
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,bio_age_full_image_upper_bound,ridge,873,3.216173615766414,6.0527355098540525,0.8018327605956472,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,supplement_ei_texture_morphology,ridge,873,3.254392430851841,6.021531337762134,0.8064146620847652,SUMMARY_ONLY
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,bio_age_full_image_upper_bound,ridge,873,3.308525390782504,5.9239044870334565,0.7938144329896907,SUMMARY_ONLY
run_20260410_173622_ta_healthy_nested_cv_roi_only_masked_elasticnet,bio_age_ei_metadata,ridge,873,3.348101879565921,7.071760720663174,0.8350515463917526,SUMMARY_ONLY
run_20260410_175535_ta_healthy_nested_cv_roi_only_masked_cached_ridge,bio_age_ei_metadata,ridge,873,3.424794285145618,6.913803232991075,0.8361970217640321,SUMMARY_ONLY
