ml_run,pred_file,feature_set,bio_age_model,bio_age_file,n_features,n_samples,n_subjects,sample_ml_true_mae,subject_ml_true_mae,ml_sample_mae,ml_subject_mae,bio_age_sample_mae,bio_age_subject_mae,sample_gap_mae,subject_gap_mae,sample_gain,subject_gain,sample_closer_to_bio_rate,subject_closer_to_bio_rate,sample_within_2_rate,sample_within_5_rate,sample_within_8_rate,subject_within_2_rate,subject_within_5_rate,subject_within_8_rate,sample_tie_rate,subject_tie_rate,sample_gap_median,subject_gap_median,sample_gap_p90,subject_gap_p90,pred_bio_corr_sample,bio_age_vs_true_corr_sample
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression/predictions_readable.csv,bio_age_ei_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_texture/results.csv,168,2638,873,9.444463229719483,9.23242987781596,9.444463229719483,9.23242987781596,9.649751243189044,9.433442682820763,3.213094228424738,2.882723121514944,6.231369001294745,6.349706756301016,0.810841546626232,0.8384879725085911,0.3946171341925701,0.8066717210007581,0.9427596664139499,0.41580756013745707,0.8407789232531501,0.9667812142038946,0.0,0.0,2.5792882962296346,2.403328597896042,6.59002550220456,6.0412496211106355,0.950081302282842,0.5444348627535553
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge/predictions_readable.csv,bio_age_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture/results.csv,144,2638,873,9.443094010614102,9.268909125620466,9.443094010614102,9.268909125620466,9.679088358837442,9.429718691811528,3.2406449865608327,2.8936369463637726,6.202449024053269,6.375272179256694,0.821076573161486,0.847651775486827,0.4378316906747536,0.8244882486732373,0.9510993176648976,0.4765177548682703,0.8739977090492554,0.9656357388316151,0.0,0.0,2.376631558936843,2.103523143109797,6.184684995392008,5.548019885384062,0.7598644158799526,0.5430262251815065
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet/predictions_readable.csv,bio_age_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture/results.csv,144,2638,873,9.398533737680062,9.208427281405116,9.398533737680062,9.208427281405116,9.67908835883744,9.429718691811528,3.2820370011635136,2.9172258779576197,6.116496736516548,6.291201403447497,0.8085670962850644,0.8384879725085911,0.41584533737680063,0.8146322971948445,0.9495830174374527,0.4765177548682703,0.8533791523482245,0.9610538373424972,0.0,0.0,2.45890034406208,2.1215782302049035,6.357538551659649,5.694568921804179,0.8287441393793432,0.5430262251815066
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression/predictions_readable.csv,bio_age_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture/results.csv,144,2638,873,9.444463229719483,9.23242987781596,9.444463229719483,9.23242987781596,9.67908835883744,9.429718691811528,3.4670315857842446,3.0416169221855207,5.977431643935239,6.19081295563044,0.8017437452615618,0.8350515463917526,0.379833206974981,0.7835481425322214,0.9389689158453374,0.4238258877434135,0.8384879725085911,0.9553264604810997,0.0,0.0,2.6933142765199136,2.394355870339176,6.8734537348096705,6.054405893718179,0.9074077358241814,0.5430262251815066
run_20260402_151438_ta_healthy_nested_cv_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260402_151438_ta_healthy_nested_cv_elasticnet/predictions_readable.csv,bio_age_full_image_upper_bound,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_full_image_upper_bound/results.csv,185,2638,873,9.66296739954511,9.468346487208859,9.66296739954511,9.468346487208859,9.293118442437844,9.047788253496131,3.7370380643829186,3.128923384642818,5.925929335162191,6.339423102566041,0.7937831690674754,0.8235967926689576,0.3692191053828658,0.7490523123578469,0.9219105382865808,0.4284077892325315,0.8144329896907216,0.9587628865979382,0.0,0.0,2.848794743007879,2.376112198570709,7.4209461590108585,6.266297327772328,0.8377145124839971,0.6406074217364047
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.572303260045489,9.275923768613975,9.572303260045489,9.275923768613975,9.571149365033508,9.337577878116555,3.720399765454423,3.1503879506158805,5.851903494591066,6.125535817998094,0.7752084912812737,0.8132875143184422,0.36884003032600454,0.7664897649734648,0.9294920394238059,0.4238258877434135,0.8396334478808706,0.9644902634593356,0.0,0.0,2.8339307731003274,2.3874342508839064,7.086695169713574,6.188318983721419,0.744930045110062,0.564119425230273
run_20260410_173622_ta_healthy_nested_cv_roi_only_masked_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_173622_ta_healthy_nested_cv_roi_only_masked_elasticnet/predictions_readable.csv,bio_age_ei_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_metadata/results.csv,16,2638,873,10.574632297194844,10.419862600229095,10.574632297194844,10.419862600229095,10.366080439560335,10.290320832188947,3.7890203336858255,3.348101879565921,6.785611963509019,7.071760720663174,0.813874147081122,0.8350515463917526,0.3794541319181198,0.7706595905989386,0.9264594389689158,0.4284077892325315,0.8235967926689576,0.9518900343642611,0.0,0.0,2.7654427328765117,2.480142326100662,7.1369119339263944,6.186989205019838,0.5437577373246387,0.6126874837974208
run_20260410_175535_ta_healthy_nested_cv_roi_only_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175535_ta_healthy_nested_cv_roi_only_masked_cached_ridge/predictions_readable.csv,bio_age_ei_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_metadata/results.csv,16,2638,873,10.518067854435179,10.338597518136693,10.518067854435179,10.338597518136693,10.366080439560335,10.290320832188947,3.91905359844677,3.424794285145618,6.5990142559884095,6.913803232991075,0.8089461713419257,0.8361970217640321,0.3802122820318423,0.7505686125852918,0.9302501895375285,0.4306987399770905,0.8144329896907216,0.9564719358533792,0.0,0.0,2.764339678385255,2.347050510176288,7.20734321772703,6.151389008981986,0.4859393223757037,0.6126874837974208
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,bio_age_ei_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_texture/results.csv,168,2638,873,9.572303260045489,9.275923768613975,9.572303260045489,9.275923768613975,9.649751243189042,9.433442682820763,3.895366783712281,3.471445041483232,5.676936476333208,5.804478727130743,0.765352539802881,0.7949599083619702,0.33775587566338133,0.7285822592873389,0.9109173616376043,0.37800687285223367,0.7938144329896907,0.9427262313860252,0.0,0.0,2.9862703399961603,2.673579953910753,7.57468773531952,6.65619035479419,0.8655060376034818,0.5444348627535553
run_20260401_173843_ta_healthy_nested_cv_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260401_173843_ta_healthy_nested_cv_elasticnet/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.875321076573162,9.690525964108438,9.875321076573162,9.690525964108438,9.571149365033508,9.337577878116555,4.2542617551733395,3.5740827773243917,5.621059321399822,6.116443186784046,0.7839272175890827,0.8201603665521191,0.3191811978771797,0.6785443517816527,0.8840030326004549,0.3642611683848797,0.7617411225658648,0.9335624284077892,0.0,0.0,3.2964817537898696,2.865185215635627,8.464189414128349,7.073815571150497,0.7138465300313145,0.564119425230273
