ml_run,pred_file,feature_set,state_age_model,state_age_file,n_features,n_samples,n_subjects,ml_sample_mae,ml_subject_mae,state_age_sample_mae,state_age_subject_mae,sample_gap_mae,subject_gap_mae,sample_gain,subject_gain,sample_closer_to_state_rate,subject_closer_to_state_rate,sample_tie_rate,subject_tie_rate,sample_gap_median,subject_gap_median,sample_gap_p90,subject_gap_p90,pred_state_corr_sample,state_age_vs_true_corr_sample
run_20260401_173843_ta_healthy_nested_cv_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260401_173843_ta_healthy_nested_cv_elasticnet/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.875321076573162,9.690525964108438,11.313782805346904,11.066940926593407,7.18009119756678,6.512617574325089,2.695229879006382,3.177908389783349,0.604245640636846,0.6277205040091638,0.0,0.0,6.053662285601767,5.598841520654474,14.472708922369854,13.211236935723662,0.5937476327466824,0.5019030695988068
run_20260401_173642_ta_healthy_nested_cv_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260401_173642_ta_healthy_nested_cv_ridge/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.887010993176649,9.707256319205802,11.313782805346904,11.066940926593407,7.20569767483108,6.535889257127588,2.681313318345569,3.1713670620782146,0.6050037907505686,0.6345933562428407,0.0,0.0,6.010365499838684,5.739914748912383,14.642747562348463,13.30883577436438,0.5931216939130155,0.5019030695988068
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,A4_roi_plus_whole_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A4_roi_plus_whole_first_order/results.csv,24,2638,873,9.712844579226687,9.191660232913327,10.500952148678435,10.351238133931025,7.483935498422867,6.618869040396666,2.2289090808038194,2.572791192516661,0.5868081880212282,0.6082474226804123,0.0,0.0,6.238425786949907,5.390655110285763,15.590425758273149,14.23253131861403,0.6781408737923206,0.5852495741825439
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,A3_whole_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A3_whole_first_order/results.csv,12,2638,873,9.712844579226687,9.191660232913327,10.568382150189775,10.423618058004994,7.4945920506185155,6.644818501078943,2.218252528608171,2.546841731834384,0.590978013646702,0.6139747995418099,0.0,0.0,6.175803555910232,5.349348290623354,15.598481990036754,13.82224401572417,0.6804144104158609,0.5813607870539992
run_20260402_151438_ta_healthy_nested_cv_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260402_151438_ta_healthy_nested_cv_elasticnet/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.66296739954511,9.468346487208859,11.313782805346904,11.066940926593407,7.329786232169803,6.652710511545026,2.333181167375307,2.8156359756638327,0.5970432145564822,0.6185567010309279,0.0,0.0,6.161234499527879,5.60546241944769,15.047824835238432,13.942466796538952,0.5845067973665106,0.5019030695988067
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,E2_first_order_plus_metadata,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/E2_first_order_plus_metadata/results.csv,16,2638,873,9.712844579226687,9.191660232913327,10.366080439560335,10.290320832188947,7.489328622608678,6.6537371280625885,2.2235159566180087,2.537923104850738,0.5943896891584534,0.6162657502863689,0.0,0.0,6.167588229303433,5.529473175954614,14.977950157384896,13.926053110229896,0.6815094703936169,0.6126874837974208
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,C4_first_order_plus_morphology,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/C4_first_order_plus_morphology/results.csv,37,2638,873,9.712844579226687,9.191660232913327,10.382544514096887,10.237233502627866,7.484457451479077,6.675517333048011,2.2283871277476095,2.516142899865316,0.5985595147839272,0.6197021764032073,0.0,0.0,6.018820484111615,5.504931270320974,15.44630156998507,13.798288386089936,0.658052962312043,0.6076089714798167
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,A2_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A2_roi_first_order/results.csv,12,2638,873,9.572303260045489,9.275923768613975,10.920118852736378,10.840715292900878,7.197060967853734,6.740441925989054,2.3752422921917553,2.535481842624921,0.5852918877937832,0.5933562428407789,0.0,0.0,5.829691939671321,5.593842270279318,13.896518881454183,13.055240343752386,0.575209413233099,0.5521836661976759
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.443094010614102,9.268909125620466,11.313782805346904,11.066940926593407,7.343813275508939,6.765790860091282,2.0992807351051628,2.503118265529184,0.5879454131918119,0.6105383734249714,0.0,0.0,6.042656147762287,5.614537707492936,14.684967603536679,13.234256808438852,0.4877962280574772,0.5019030695988068
run_20260411_005901_ta_healthy_nested_cv_fusion_whole_roi_benchmark_svr,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005901_ta_healthy_nested_cv_fusion_whole_roi_benchmark_svr/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.05760879454132,8.81139940817106,11.313782805346902,11.066940926593407,7.4462447651127714,6.804621265584397,1.6113640294285485,2.006778142586662,0.564442759666414,0.579610538373425,0.0,0.0,6.2545233207025035,5.903211835500571,15.489081885639973,14.431026669432534,0.6061571155381887,0.5019030695988067
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.444463229719483,9.23242987781596,11.313782805346904,11.066940926593407,7.47411971559522,6.843440759217404,1.970343514124263,2.3889891185985563,0.5833965125094769,0.6139747995418099,0.0,0.0,6.240397502528889,5.749508436074009,14.811317559834785,13.119080934998538,0.5650246915799834,0.5019030695988067
run_20260411_142335_ta_healthy_nested_cv_fusion_whole_roi_rfe_svr_svr,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_142335_ta_healthy_nested_cv_fusion_whole_roi_rfe_svr_svr/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.095979150871873,8.862439442535319,11.313782805346902,11.066940926593407,7.532976748954031,6.879034693818967,1.5630024019178421,1.9834047487163522,0.5636846095526914,0.588774341351661,0.0,0.0,6.492297059853051,5.988021202311245,15.403513969298906,14.427128441439097,0.5999676645281198,0.5019030695988067
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.398533737680062,9.208427281405116,11.313782805346902,11.066940926593407,7.459914898783953,6.89218216359054,1.938618838896108,2.316245117814576,0.5841546626231994,0.5990836197021764,0.0,0.0,6.147581732208167,5.76263424975744,14.903111942149385,13.247145875606533,0.5093534648745104,0.5019030695988067
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,D1_partition_first_order_depth,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D1_partition_first_order_depth/results.csv,48,2638,873,9.572303260045489,9.275923768613975,10.730375323831812,10.54254884570798,7.55989761681909,6.9245029956647945,2.0124056432263986,2.3514207729491803,0.5936315390447309,0.6277205040091638,0.0,0.0,6.0762922372040045,5.464063816465455,14.680407592063789,13.46854624907542,0.42054073870580244,0.5563908922908012
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,D4_roi_plus_partition,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D4_roi_plus_partition/results.csv,132,2638,873,9.712844579226687,9.191660232913327,10.447411037352106,10.164363107817573,7.878118235836414,6.939273876572541,1.8347263433902725,2.2523863563407858,0.5758150113722517,0.6139747995418099,0.0,0.0,6.444577862558599,5.606450568862073,16.211037543447894,14.337699054724547,0.62700263054058,0.5826905306079627
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,A1_ei_only_baseline,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A1_ei_only_baseline/results.csv,1,2638,873,9.572303260045489,9.275923768613975,11.05534428013486,10.99191746092073,7.475443339720721,7.004094751820889,2.0968599203247678,2.2718290167930855,0.5780894617134192,0.5922107674684994,0.0,0.0,6.055221371725317,5.679923227692562,14.42667427889585,13.400199824619087,0.4939874773768946,0.5430346308728908
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,D3_partition_first_order_plus_partition_texture,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D3_partition_first_order_plus_partition_texture/results.csv,120,2638,873,9.712844579226687,9.191660232913327,10.42548051099444,10.148030573458053,8.118503828066169,7.111702214258904,1.5943407511605177,2.0799580186544224,0.5602729340409401,0.5967926689576174,0.0,0.0,6.657194939909722,5.823172984340779,16.733678119992582,14.683268544389817,0.6125035921252845,0.5808954639726481
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,D2_partition_first_order_width,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D2_partition_first_order_width/results.csv,48,2638,873,9.572303260045489,9.275923768613975,10.953614972318821,10.79752737994791,7.703751307818357,7.171578454501234,1.8685519522271319,2.1043453141127406,0.5735405610310842,0.5910652920962199,0.0,0.0,6.2895798133020016,5.821966570437759,14.8136758056534,13.73535223930072,0.47753431537433577,0.5386782866430339
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,A2_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A2_roi_first_order/results.csv,12,2638,873,9.712844579226687,9.191660232913327,10.920118852736378,10.840715292900878,8.142523242003548,7.332125773340245,1.5703213372231382,1.8595344595730818,0.5633055344958302,0.5773195876288659,0.0,0.0,6.64654839210532,5.844761476859084,16.685247231487367,15.079047431958323,0.6148932995756831,0.5521836661976759
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,A1_ei_only_baseline,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A1_ei_only_baseline/results.csv,1,2638,873,9.712844579226687,9.191660232913327,11.05534428013486,10.99191746092073,8.193715390707684,7.391595141486479,1.5191291885190026,1.8000650914268475,0.558756633813495,0.5750286368843069,0.0,0.0,6.619747143909532,5.721465082913248,17.154671300585683,16.005437976772892,0.6060125620746655,0.5430346308728909
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,D1_partition_first_order_depth,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D1_partition_first_order_depth/results.csv,48,2638,873,9.712844579226687,9.191660232913327,10.730375323831812,10.54254884570798,8.42735659719549,7.507784979261704,1.2854879820311975,1.6838752536516228,0.5492797573919637,0.5807560137457045,0.0,0.0,7.031091766565837,6.363438225142502,17.325047168703897,15.304884729290473,0.5904702468719257,0.5563908922908012
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,A5_depthnorm_roi_first_order,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/A5_depthnorm_roi_first_order/results.csv,8,2638,873,9.572303260045489,9.275923768613975,11.313782805346904,11.066940926593407,8.269095869525914,7.619704480206384,1.3032073905195745,1.6562192884075913,0.5545868081880212,0.5750286368843069,0.0,0.0,6.730620680603344,6.214809656992884,16.17702159230619,14.663112092084038,0.4183932290425858,0.5019030695988068
run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_010008_ta_healthy_nested_cv_fusion_whole_roi_benchmark_kernel_ridge/predictions_readable.csv,D2_partition_first_order_width,ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/state_age_feature_benchmark/run_20260422_141500_state_age_feature_benchmark_state_alignment/feature_sets/D2_partition_first_order_width/results.csv,48,2638,873,9.712844579226687,9.191660232913327,10.953614972318821,10.79752737994791,8.606855608604237,7.719770664092533,1.10598897062245,1.4718895688207931,0.5371493555724033,0.56815578465063,0.0,0.0,6.999213001365586,6.44425533309191,17.291145909085017,15.885533483943888,0.551965401285702,0.5386782866430337
