年龄段,subject数,subject_pred_vs_true_mae,subject_pred_vs_bio_mae,subject更接近bio比例,subject_2年内比例,subject_5年内比例,subject_8年内比例,subject_gain
18-39,193,12.34360189982729,2.431490262582599,0.9430051813471503,0.5025906735751295,0.8963730569948186,0.9844559585492227,9.91211163724469
40-59,344,6.952268895348837,2.5818894223785342,0.7936046511627907,0.4796511627906977,0.8866279069767442,0.9825581395348837,4.370379472970303
60-79,312,9.507748931623931,2.9008022224310204,0.8493589743589743,0.5,0.8685897435897436,0.9647435897435898,6.606946709192911
80+,24,14.64351388888889,3.238536480372948,1.0,0.2916666666666667,0.8333333333333334,1.0,11.404977408515942
