轴,解释,特征数,subject_pred_vs_bio_mae,subject_gain,subject更接近bio比例,bio_age_vs_true_mae,bio_age_vs_true_corr
bio_age_full_image_upper_bound（full upper bound）,实用上限参考，不作为主科学定义。,185,1.856422826351945,7.41248629926852,0.8957617411225659,9.293118442437844,0.6406074217364051
bio_age_texture_metadata（纹理 + metadata）,实用上限参考，不作为主科学定义。,148,2.270555537736191,6.998353587884274,0.8717067583046965,9.571149365033508,0.564119425230273
bio_age_morphology（形态）,ROI 形态与空间分布信号，作为补充。,13,9.07268519749122,0.1962239281292443,0.4971363115693012,13.127969243300498,0.0793478367605236
