轴,解释,特征数,sample_pred_vs_true_mae,subject_pred_vs_true_mae,sample_pred_vs_bio_mae,subject_pred_vs_bio_mae,sample_gain,subject_gain,sample更接近bio比例,subject更接近bio比例,subject_2年内比例,subject_5年内比例,subject_8年内比例,bio_age_vs_true_mae,bio_age_vs_true_corr,bio_age_std
bio_age_ei（EI / 一阶统计）,整体亮度 / 回声强度 / 粗粒度肌肉质量信号。,12,9.443094010614102,9.268909125620466,5.938407912011374,5.569081093090756,3.504686098602728,3.6998280325297097,0.6561789234268385,0.6735395189003437,0.2497136311569301,0.5349369988545246,0.7605956471935853,10.920118852736378,0.552183666197676,9.030198220954416
bio_age_texture（纹理）,组织异质性 / 纹理模式信号。,144,9.443094010614102,9.268909125620466,3.2406449865608327,2.893636946363773,6.202449024053269,6.375272179256694,0.821076573161486,0.847651775486827,0.4765177548682703,0.8739977090492554,0.9656357388316152,9.679088358837442,0.5430262251815065,13.83355979732448
bio_age_ei_texture（EI + 纹理）,更综合的纯图像 bio_age 信号。,168,9.443094010614102,9.268909125620466,2.9686220584999385,2.680667526808804,6.474471952114163,6.588241598811662,0.8275208491281274,0.852233676975945,0.4868270332187858,0.8808705612829324,0.97709049255441,9.649751243189042,0.5444348627535553,13.846895514028173
