subject_id,true_age,pred_age,pred_vs_true误差,bio_age_ei误差,bio_age_ei_texture误差,bio_age_texture误差,主轴平均误差
848,60.49,-114.19433333333336,174.68433333333334,130.384037174025,96.6898163186342,152.41740966402014,126.49708771889311
1825,41.314,122.319,81.005,72.21117689771938,46.966751080887306,57.877570936044506,59.018499638217065
1550,21.908,50.896,28.987999999999992,11.255791078898431,14.783928752210684,19.65696665927536,15.232228830128157
585,76.578,76.641,0.0630000000000023,20.79661754828804,11.4367611652805,11.631737765690673,14.621705493086404
525,74.642,83.53966666666666,8.897666666666666,22.39906900205795,10.757594014123685,10.471601338891888,14.542754785024506
1444,51.395,43.6815,7.713500000000003,5.398180572094027,14.193739560553077,19.242967135836857,12.944962422827986
1247,74.637,55.813,18.824000000000005,21.840137284305374,7.580895691664317,3.274924477705781,10.898652484558491
1808,59.43,77.39733333333334,17.967333333333336,17.060422342830968,7.552817693837596,7.692877915902954,10.768705984190506
1003,26.272,64.27566666666667,38.00366666666666,19.934105280399585,4.507081846058618,7.394117039550899,10.611768055336368
877,79.373,90.78166666666668,11.408666666666676,16.343776133702164,9.799936555940532,5.459640042651159,10.534450910764619
1432,76.433,71.2545,5.178500000000014,9.773443938462512,10.001289316642035,11.206689136941932,10.327140797348827
1195,57.656,54.594,3.0620000000000047,16.211846898135875,5.7832470085614105,8.39990991764941,10.131667941448898
942,77.826,57.6375,20.18849999999999,10.539706929967906,9.008206592007888,9.648344465558942,9.732085995844912
576,75.173,74.178,0.9950000000000044,14.215465483262136,7.081739851264857,7.89704269091682,9.73141600848127
754,73.191,61.835,11.356000000000002,11.77001182696258,7.9071438953491295,9.426431075015325,9.701195599109012
1720,76.52,69.93,6.589999999999989,15.104626796748654,6.687611586259216,7.108270375062183,9.633502919356685
883,19.617,25.258,5.640999999999998,21.28116883278489,2.76052555801234,4.727706753675676,9.589800381490969
588,74.951,75.24333333333333,0.2923333333333318,13.673964162379114,7.218782650694422,7.623171115172369,9.505305976081969
521,81.084,64.403,16.680999999999997,18.67204477216517,4.599951189343457,4.459081945927139,9.243692635811922
740,55.162,57.2385,2.076500000000003,1.879344700863648,10.153349849778571,14.918664297430212,8.98378628269081
602,45.174,59.677666666666674,14.503666666666676,10.585245337769308,7.582530883432405,8.443347878771121,8.870374699990945
1437,67.871,57.686,10.184999999999995,10.378664736024568,7.363548529357992,8.408019416446763,8.716744227276441
